,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital,Reserves,Face Value
4,heromotoco,MAR'13,"2,37,681.00","3,983.80","2,41,665.00","2,04,836.00","36,828.60","36,709.50",119.10,"36,590.40",0.00,"25,292.00","4,110.40","21,181.60",106.07,399.40,0.00,"49,663.00",2.00
0,boschltd,MAR'17,"1,12,426.00","6,173.90","1,18,600.00","92,822.00","25,777.50","25,506.00",271.50,"25,234.50",0.00,"20,943.70","6,503.00","17,411.20",560.90,305.20,0.00,0.00,10.00
1,boschltd,MAR'16,"1,06,128.00","3,826.20","1,09,954.00","87,371.30","22,582.60","22,540.80",41.80,"22,499.00",0.00,"18,590.70","6,131.50","12,459.20",396.80,314.00,0.00,"82,574.90",10.00
2,boschltd,MAR'15,"1,20,855.00","5,653.00","1,26,508.00","1,01,042.00","25,466.30","25,042.70",143.20,"24,899.50",0.00,"19,558.50","6,182.00","13,376.50",426.00,314.00,0.00,0.00,10.00
3,boschltd,DEC'13,"88,200.60","3,526.20","91,726.80","75,290.40","16,436.40","16,407.50",28.90,"16,378.60",0.00,"12,565.50","3,718.70","8,846.80",281.75,314.00,0.00,"62,629.10",10.00
4,boschltd,DEC'12,"86,590.70","3,692.30","90,283.00","73,097.90","17,185.10","17,129.90",55.20,"17,074.70",0.00,"13,460.70","3,879.00","9,581.70",305.15,314.00,0.00,"55,418.60",10.00
0,binfra,MAR'17,"60,847.00","10,221.00","71,068.00","32,595.00","38,473.00","45,014.00","-6,541.00","51,555.00",0.00,"33,357.00","6,307.00","27,050.00",14.49,"18,496.00",0.00,"1,43,404.00",10.00
1,binfra,MAR'16,"55,957.00","6,388.00","62,345.00","30,793.00","31,552.00","31,547.00",5.00,"31,542.00",0.00,"19,843.00","6,609.00","13,234.00",6.98,"18,967.00",0.00,"1,66,765.00",10.00
2,binfra,MAR'15,"53,889.00","20,019.00","73,908.00","29,949.00","43,959.00","43,959.00",0.00,"43,959.00",0.00,"32,737.00","5,485.00","27,252.00",14.42,"18,938.00",0.00,"1,60,697.00",10.00
3,binfra,MAR'14,"49,993.00","5,302.00","55,295.00","29,224.00","26,071.00","25,980.00",91.00,"25,889.00",0.00,"14,966.00","4,067.00","10,899.00",5.77,"18,893.00",0.00,"1,58,593.00",10.00
4,binfra,MAR'13,"44,601.00","6,558.00","51,159.00","26,881.00","24,278.00","24,302.00",7.00,"24,295.00",0.00,"13,216.00","3,118.00","10,098.00",5.35,"18,887.00",0.00,"1,57,837.00",10.00
0,gail,MAR'17,"4,88,830.00","11,762.70","5,00,593.00","4,24,736.00","75,856.90","68,076.00","4,793.60","63,282.40",0.00,"54,108.20","19,079.10","35,029.10",20.71,"16,913.00",0.00,"3,09,948.00",10.00
1,gail,MAR'16,"5,19,142.00","8,577.00","5,27,718.00","4,76,459.00","51,259.30","44,858.90","6,400.40","38,458.50",0.00,"31,728.00","8,739.00","22,989.00",18.12,"12,684.80",0.00,"2,93,164.00",10.00
2,gail,MAR'15,"5,67,420.00","8,608.60","5,76,028.00","5,20,458.00","55,570.60","52,586.20","3,613.00","48,973.20",0.00,"42,843.60","12,451.90","30,391.70",23.96,"12,684.80",0.00,"2,78,510.00",10.00
3,gail,MAR'14,"5,75,079.00","8,985.20","5,84,064.00","5,08,067.00","75,997.10","75,784.70","3,661.90","72,122.80",0.00,"64,023.20","20,270.50","43,752.70",34.49,"12,684.80",0.00,"2,58,038.00",10.00
4,gail,MAR'13,"4,75,227.00","7,645.10","4,82,872.00","4,10,535.00","72,337.30","70,387.10","1,950.20","68,436.90",0.00,"60,577.70","20,355.70","40,222.00",31.71,"12,684.80",0.00,"2,29,593.00",10.00
0,tatasteel,MAR'17,"5,32,610.00","4,144.60","5,36,754.00","4,13,850.00","1,22,904.00","88,984.80","26,885.50","62,099.30",0.00,"53,569.30","19,123.80","34,445.50",33.67,"9,714.10",0.00,"4,86,876.00",10.00
1,tatasteel,MAR'16,"3,82,103.00","38,907.00","4,21,010.00","3,09,986.00","1,11,024.00","80,596.30","14,602.70","65,993.60",0.00,"61,265.20","12,255.70","49,009.50",48.67,"9,714.10",0.00,"6,95,053.00",10.00
2,tatasteel,MAR'15,"4,17,850.00","5,827.80","4,23,678.00","3,17,762.00","1,05,916.00","1,05,065.00","19,759.50","85,305.50",0.00,"85,088.90","20,697.70","64,391.20",64.49,"9,714.10",0.00,"6,56,925.00",10.00
