stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x),close_price
ULTRACEMCO,31-Mar-17,"2,71,624.00","6,599.50","2,78,224.00","2,21,935.00","56,289.00","50,438.20","5,713.90","44,724.30","26,277.20","11,482.30",95.74,0,871.37,"1,413.44",100,"23,891.43","18,922.48",6.77,11.54,14.48,41.68,28.12,4.58,0.25,4.58,0,"3,984.75"
ULTRACEMCO,31-Mar-16,"2,41,074.00","2,351.60","2,43,425.00","1,94,912.00","48,512.80","43,459.90","5,052.90","38,407.00","21,746.50","8,823.10",79.25,1,787.33,"1,343.02",95,"23,708.79","19,082.19",6.45,11.72,13.57,37.36,24.15,4.1,0.29,3.74,0,"3,228.75"
ULTRACEMCO,31-Mar-15,"2,29,362.00","3,717.80","2,33,080.00","1,87,411.00","45,668.10","40,193.60","5,474.50","34,719.10","20,147.30","8,715.20",73.44,2,686.92,"1,218.29",90,"22,927.19","18,732.16",6.2,11.21,14.14,39.16,25.06,4.19,0.31,3.44,0,"2,877.90"
ULTRACEMCO,31-Mar-14,"2,02,798.00","3,290.40","2,06,088.00","1,64,619.00","41,469.40","38,277.70","3,191.70","35,086.00","21,444.70","6,310.40",78.2,3,623.29,"1,014.63",90,"20,279.80","16,461.90",7.5,13.27,14.41,27.99,18.78,3.51,0.41,2.96,0,"2,186.95"
ULTRACEMCO,01-Jul-13,"2,01,749.00","3,050.00","2,04,799.00","1,54,995.00","49,804.80","47,707.70","2,097.10","45,610.60","26,554.30","11,699.70",96.85,4,555.54,968.35,90,"20,179.96","15,504.48",10.55,18.91,21.43,19.29,14.22,3.36,0.48,2.54,0,"1,932.30"
ASIANPAINT,31-Mar-17,"1,43,604.00","3,009.00","1,46,613.00","1,16,890.00","29,723.40","29,534.80",188.6,"29,346.20","18,031.00","8,549.50",18.8,0,72.47,742.83,"1,030.00","12,647.11","9,972.23",19.04,28.01,41.39,56.98,48.96,14.78,0.96,8.12,0,"1,073.50"
ASIANPAINT,31-Mar-16,"1,26,459.00","2,253.00","1,28,712.00","1,01,663.00","27,048.60","26,161.10",234,"25,927.10","15,974.30","7,803.20",16.65,1,61.78,666.83,750,"11,830.33","9,349.80",20.29,31.96,47.5,51.35,44.86,14.06,0.86,7.04,0,868.4
ASIANPAINT,31-Mar-15,"1,16,488.00","1,868.20","1,18,356.00","96,383.10","21,973.40","21,566.80",271.3,"21,295.50","13,274.00","6,061.70",13.84,2,44.1,606.94,610,"11,648.83","9,634.28",18.97,33.9,49.62,58.44,50.03,18.34,0.75,6.66,0,811.3
ASIANPAINT,31-Mar-14,"1,04,188.00","1,736.60","1,05,924.00","86,415.10","19,509.30","19,148.90",260.8,"18,888.10","11,690.60","5,335.10",12.19,3,37.54,482.43,530,"10,418.78","8,639.16",18.91,35.3,51.1,44.84,37.95,14.56,0.97,5.03,0,547.95
ASIANPAINT,01-Jul-13,"89,717.00","1,261.50","90,978.50","74,244.30","16,734.20","16,428.60",305.6,"16,123.00","10,500.00","4,658.80",109.47,4,315.08,404.59,460,"8,960.07","7,409.40",20.11,38.11,53.39,4.49,40.05,15.6,0.94,5.26,0,"4,712.50"
INDUSINDBK,31-Mar-17,"1,44,057.00","41,714.90","1,85,772.00","47,830.80","54,510.10",0,"83,430.70","-83,430.70","28,678.90","14,917.90",48.06,0,0,,0,,,1.78,15.27,13.45,29.4,27.56,4.16,0.43,5.85,0.06,"1,425.15"
INDUSINDBK,31-Mar-16,"1,15,807.00","32,969.50","1,48,776.00","36,721.00","41,414.20","34,692.60","70,640.90","-35,948.30","22,864.50","11,828.10",39.68,1,0,,0,,,1.8,16.6,13.83,25.18,23.57,3.33,0.47,4.85,0.05,967.6
INDUSINDBK,31-Mar-15,"96,919.70","24,038.70","1,20,958.00","27,259.30","30,982.20",0,"62,716.90","-62,716.90","17,937.20","9,154.50",33.99,2,0,,0,,,1.8,19.01,13.83,26.05,24.33,4.56,0.45,4.82,0.05,886
INDUSINDBK,31-Mar-14,"82,535.30","18,905.30","1,01,441.00","21,852.80","25,959.60","21,283.30","53,628.20","-32,344.90","14,080.20","7,203.10",26.85,3,0,,0,,,1.76,17.56,15.2,18.7,17.49,3.05,0.7,3.19,0.07,501.85
INDUSINDBK,01-Jul-13,"69,832.30","13,629.60","83,461.90","17,563.60","18,394.60","15,763.60","47,503.70","-31,740.10","10,611.80","5,151.80",21.83,4,0,,0,,,1.62,17.81,15.07,19.95,18.65,2.86,0.74,3.03,0.06,471.95
ADANIPORTS,31-Mar-17,"48,788.60","14,850.00","63,638.60","14,268.10","49,370.50","38,336.50","11,034.00","27,302.50","31,006.10","1,923.30",14.97,0,81.44,210.99,65,"4,878.86","1,331.81",9.21,20.38,13.5,22.7,19.33,4.17,0.38,14.42,0,339.6
