,Book Value (in ?),Earnings Per Share (in ?),Employee Cost,Equity Dividend (%),Interest,Net Sales,Operating Profit,Other Income,PBDT,Total Expenditure,Year,stock_ticker
2,267.72,56.16,"2,896.35",170.00,"1,359.08","2,60,074.98","9,554.88","1,454.20","8,195.80","2,51,974.31",MAR'14,bpcl
3,229.68,36.55,"2,768.87",110.00,"1,825.24","2,40,115.75","7,787.03","1,844.15","5,961.79","2,34,172.88",MAR'13,bpcl
4,412.51,36.27,"2,261.07",110.00,"1,799.59","2,11,972.97","5,568.63","1,760.34","3,769.04","2,08,164.69",MAR'12,bpcl
0,214.16,29.77,784.35,"1,945.00","3,896.16","36,663.26","16,356.36","9,710.49","12,460.20","30,017.39",MAR'17,sesagoa
1,212.48,-32.03,706.26,350.00,"3,600.44","34,094.28","15,716.04","9,926.64","12,115.60","28,304.88",MAR'16,sesagoa
2,114.63,6.50,650.13,410.00,"3,655.93","32,502.41","6,637.50","2,008.86","2,981.57","27,873.77",MAR'15,sesagoa
3,113.24,3.63,559.08,325.00,"3,564.96","28,536.53","4,128.98","1,817.06",564.02,"26,224.61",MAR'14,sesagoa
4,149.85,1.39,184.62,10.00,469.23,"2,347.63",683.84,341.99,214.61,"2,005.78",MAR'13,sesagoa
0,0.00,0.00,,0.00,,,,"4,171.49",,,MAR'17,indusindbk
1,0.00,0.00,,0.00,,,,"3,296.95",,,MAR'16,indusindbk
2,0.00,0.00,,0.00,,,,"2,548.00",,,MAR'15,indusindbk
3,0.00,0.00,,0.00,,,,"1,890.53",,,MAR'14,indusindbk
4,0.00,0.00,,0.00,,,,"1,362.96",,,MAR'13,indusindbk
0,81.44,14.97,210.99,65.00,"1,198.40","4,878.86","5,032.05","1,485.00","3,833.65","1,331.81",MAR'17,adaniports
1,65.51,14.31,178.92,55.00,929.75,"4,619.17","4,555.34","1,248.07","3,625.59","1,311.90",MAR'16,adaniports
2,53.89,10.55,157.56,55.00,708.79,"3,909.36","3,345.58",738.16,"2,636.79","1,301.94",MAR'15,adaniports
3,44.79,9.74,117.00,50.00,753.86,"4,350.26","3,419.82",682.03,"2,665.96","1,612.47",MAR'14,adaniports
4,33.45,8.76,104.38,50.00,441.90,"3,361.05","2,673.47",203.24,"2,231.57",890.82,MAR'13,adaniports
0,"1,425.01",573.33,385.05,"1,000.00",2.79,"7,037.97","2,433.12",227.31,"2,430.33","4,832.16",MAR'17,eichermot
1,850.95,482.04,342.22,"1,000.00",2.12,"6,186.19","1,991.68",283.49,"1,989.56","4,478.00",MAR'16,eichermot
2,455.23,206.24,160.90,500.00,1.67,"3,031.22",849.86,116.85,848.19,"2,298.21",DEC'14,eichermot
3,303.75,103.04,110.90,300.00,0.27,"1,702.47",393.83,80.14,393.56,"1,388.78",DEC'13,eichermot
4,232.98,53.61,78.86,200.00,0.26,"1,049.26",191.21,45.78,190.95,903.83,DEC'12,eichermot
0,588.66,132.27,960.52,550.00,1.40,"21,766.68","5,644.32","1,223.21","5,642.92","17,345.57",MAR'17,bajaj-auto
1,458.46,135.80,883.42,550.00,1.05,"22,586.52","5,855.53","1,073.59","5,854.48","17,804.58",MAR'16,bajaj-auto
2,369.50,97.24,865.24,500.00,6.49,"21,612.01","4,695.74",586.92,"4,689.25","17,503.19",MAR'15,bajaj-auto
3,332.03,112.08,696.48,500.00,0.49,"20,149.51","4,810.11",739.37,"4,809.62","16,078.77",MAR'14,bajaj-auto
4,273.07,105.18,611.76,450.00,0.54,"19,997.25","4,429.40",854.45,"4,428.86","16,422.30",MAR'13,bajaj-auto
0,0.00,0.00,,0.00,,,,"4,156.76",,,MAR'17,yesbank
1,0.00,0.00,,0.00,,,,"2,712.15",,,MAR'16,yesbank
2,0.00,0.00,,0.00,,,,"2,046.46",,,MAR'15,yesbank
3,0.00,0.00,,0.00,,,,"1,721.58",,,MAR'14,yesbank
4,0.00,0.00,,0.00,,,,"1,257.43",,,MAR'13,yesbank
0,506.13,169.11,"1,396.01","4,250.00",6.05,"28,474.99","5,157.24",522.43,"5,151.19","23,840.18",MAR'17,heromotoco
1,442.32,158.25,"1,315.93","3,600.00",4.89,"28,442.70","4,877.40",422.43,"4,872.51","23,987.73",MAR'16,heromotoco
2,327.52,119.46,"1,172.87","3,000.00",11.09,"27,585.30","4,034.92",583.52,"4,023.83","24,133.90",MAR'15,heromotoco
3,280.41,105.61,930.04,"3,250.00",11.82,"25,275.47","3,986.44",539.23,"3,974.62","21,828.26",MAR'14,heromotoco
