,high_price,low_price,open_price,total_traded_quantity,turnover,label
304,"1,459.00","1,428.90","1,450.80","2,83,005","4,092.07","1,443.15"
305,"1,451.00","1,408.00","1,422.10","8,05,376","11,528.18","1,437.85"
306,"1,445.60","1,419.00","1,428.85","1,39,836","2,008.11","1,429.55"
307,"1,434.80","1,421.20","1,430.00","1,83,762","2,622.41","1,426.90"
308,"1,429.60","1,406.00","1,424.00","1,64,659","2,331.96","1,422.90"
309,"1,432.50","1,410.75","1,430.00","2,77,158","3,933.59","1,414.15"
310,"1,482.50","1,428.00","1,482.50","1,82,428","2,646.06","1,433.30"
311,"1,481.50","1,460.25","1,468.10","3,00,310","4,414.36","1,467.65"
312,"1,469.00","1,437.20","1,465.10","2,91,018","4,233.06","1,464.15"
313,"1,475.00","1,450.75","1,451.35","3,57,950","5,256.73","1,469.95"
314,"1,452.50","1,430.05","1,448.90","2,27,452","3,282.83","1,448.70"
315,"1,449.95","1,425.50","1,447.50","1,82,766","2,633.60","1,447.15"
316,"1,448.85","1,411.90","1,414.00","3,85,804","5,558.99","1,441.85"
317,"1,434.00","1,411.20","1,425.00","1,88,755","2,688.28","1,417.55"
318,"1,433.50","1,392.00","1,395.00","3,95,582","5,631.57","1,427.70"
319,"1,415.00","1,387.00","1,405.00","2,45,684","3,442.94","1,390.75"
320,"1,424.25","1,397.00","1,409.95","3,04,032","4,296.90","1,412.10"
321,"1,417.00","1,371.25","1,371.25","3,53,030","4,937.08","1,413.80"
322,"1,395.00","1,362.20","1,395.00","5,93,818","8,194.28","1,381.90"
323,"1,392.00","1,371.10","1,373.00","2,83,716","3,927.35","1,385.70"
324,"1,388.00","1,353.10","1,367.05","3,06,696","4,191.06","1,366.05"
325,"1,392.00","1,355.20","1,372.65","3,61,296","4,980.13","1,377.55"
326,"1,400.00","1,358.10","1,368.00","3,48,767","4,798.05","1,372.65"
327,"1,374.00","1,352.00","1,374.00","2,74,082","3,730.70","1,365.50"
328,"1,378.00","1,338.00","1,344.35","6,42,636","8,791.12","1,374.35"
329,"1,340.30","1,280.00","1,280.10","9,37,576","12,375.23","1,337.20"
330,"1,284.30","1,243.90","1,243.90","6,61,507","8,398.47","1,273.70"
331,"1,247.50","1,228.05","1,240.40","1,33,474","1,652.05","1,236.15"
332,"1,244.85","1,231.30","1,236.00","2,52,747","3,131.52","1,240.10"
333,"1,239.00","1,230.00","1,231.30","1,99,944","2,467.73","1,235.80"
334,"1,238.00","1,218.00","1,225.00","2,27,408","2,796.16","1,226.75"
335,"1,250.00","1,226.10","1,248.00","1,57,799","1,951.78","1,230.35"
336,"1,249.70","1,233.25","1,237.30","3,04,618","3,782.54","1,243.75"
337,"1,254.95","1,231.10","1,239.10","1,51,748","1,889.33","1,241.15"
338,"1,256.00","1,232.00","1,255.00","1,89,317","2,353.71","1,239.35"
339,"1,259.80","1,233.00","1,245.70","2,26,023","2,821.58","1,254.15"
340,"1,259.80","1,233.90","1,240.00","1,40,876","1,751.81","1,243.25"
341,"1,243.35","1,195.00","1,199.00","1,50,747","1,836.43","1,232.90"
342,"1,206.90","1,174.00","1,189.00","1,99,068","2,376.07","1,193.90"
343,"1,210.35","1,182.15","1,210.30","2,24,281","2,669.49","1,190.90"
344,"1,234.80","1,196.00","1,231.40","2,08,252","2,519.49","1,199.85"
345,"1,245.25","1,225.80","1,239.00","1,22,545","1,515.12","1,233.15"
