,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,Year,stock_ticker
4,108.14,726.44,200,"7,122.51","5,238.59",MAR'13,LUPIN
0,158.37,"1,728.97",100,"10,768.49","9,172.23",MAR'17,CIPLA
1,148.08,"1,778.56",100,"11,950.69","9,897.26",MAR'16,CIPLA
2,137.12,"1,499.63",100,"10,131.78","8,170.47",MAR'15,CIPLA
3,125.31,"1,284.75",100,"9,456.90","7,467.37",MAR'14,CIPLA
4,110.36,969.28,100,"8,202.42","6,083.28",MAR'13,CIPLA
0,116.38,809.79,250,"9,166.18","6,717.14",MAR'16,AUROPHARMA
1,183.55,668.75,450,"8,095.10","5,844.68",MAR'15,AUROPHARMA
2,137.65,514.21,300,"7,110.71","5,191.24",MAR'14,AUROPHARMA
3,100.93,431.42,150,"5,425.10","4,467.04",MAR'13,AUROPHARMA
4,85.65,364.1,100,"4,281.45","3,707.96",MAR'12,AUROPHARMA
0,167.89,"7,744.40",180,"23,165.40","19,860.70",MAR'17,TECHM
1,149.29,"7,429.00",240,"20,969.80","17,703.20",MAR'16,TECHM
2,112.87,"7,201.20",120,"19,162.70","16,256.30",MAR'15,TECHM
3,358.44,"6,971.50",200,"16,295.10","13,170.60",MAR'14,TECHM
4,319.34,"2,513.80",50,"6,001.90","4,954.70",MAR'13,TECHM
0,694.83,"1,803.30",400,"9,719.80","7,974.20",MAR'17,DRREDDY
1,702.69,"1,693.40",400,"10,291.90","8,226.60",MAR'16,DRREDDY
2,618.75,"1,490.90",400,"10,011.00","7,619.90",MAR'15,DRREDDY
3,543.33,"1,419.90",360,"9,728.00","7,004.50",MAR'14,DRREDDY
4,454.35,"1,138.10",300,"8,434.00","6,448.30",MAR'13,DRREDDY
0,0,,0,,,MAR'17,BANKBARODA
1,0,,0,,,MAR'16,BANKBARODA
2,0,,0,,,MAR'15,BANKBARODA
3,0,,0,,,MAR'14,BANKBARODA
4,0,,0,,,MAR'13,BANKBARODA
0,461.22,778.31,170,"11,158.34","9,747.30",DEC'16,ACCLTD
1,449.69,769.87,170,"11,796.83","10,268.98",DEC'15,ACCLTD
2,438.64,746.59,340,"11,738.21","10,248.61",DEC'14,ACCLTD
3,416.76,661.27,300,"11,149.61","9,528.28",DEC'13,ACCLTD
4,393.21,616.65,300,"11,357.96","9,162.38",DEC'12,ACCLTD
0,53.61,660.8,130,"7,202.25","5,184.21",MAR'17,TATAPOWER
1,54.61,648.47,130,"8,690.51","6,241.27",MAR'16,TATAPOWER
2,54.86,686.52,130,"8,250.19","6,563.97",MAR'15,TATAPOWER
3,51.64,544.95,125,"8,675.53","6,384.78",MAR'14,TATAPOWER
4,48.98,547.6,115,"9,567.28","7,537.93",MAR'13,TATAPOWER
