,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital
2,ultracemco,JUN'17,"75,202.80","1,651.70","76,854.50","59,602.10","17,252.40","15,967.50","1,284.90","14,682.60",0.00,"12,869.60","3,963.40","8,906.20",32.44,"2,745.20",0.00
3,ultracemco,JUN'17,"75,202.80","1,651.70","76,854.50","59,602.10","17,252.40","15,967.50","1,284.90","14,682.60",0.00,"12,869.60","3,963.40","8,906.20",32.44,"2,745.20",0.00
4,ultracemco,JUN'17,"75,202.80","1,651.70","76,854.50","59,602.10","17,252.40","15,967.50","1,284.90","14,682.60",0.00,"12,869.60","3,963.40","8,906.20",32.44,"2,745.20",0.00
0,asianpaint,JUN'17,"35,945.70",861.40,"36,807.10","29,974.90","6,832.20","6,789.30",42.90,"6,746.40",0.00,"6,031.80","2,022.30","4,009.50",4.18,959.20,0.00
1,asianpaint,MAR'17,"37,621.50",849.90,"38,471.40","31,230.20","7,241.20","7,184.30",56.90,"7,127.40",0.00,"6,446.50","2,038.30","4,408.20",4.60,959.20,0.00
2,asianpaint,DEC'16,"32,410.80",523.70,"32,934.50","25,701.50","7,233.00","7,187.10",45.90,"7,141.20",0.00,"6,441.50","2,183.20","4,258.30",4.44,959.20,0.00
3,asianpaint,SEP'16,"31,020.10",847.70,"31,867.80","24,707.60","7,160.20","7,116.20",44.00,"7,072.20",0.00,"6,385.50","2,032.80","4,352.70",4.54,959.20,0.00
4,asianpaint,JUN'16,"29,837.40",787.70,"30,625.10","22,536.10","8,089.00","8,047.20",41.80,"8,005.40",0.00,"7,307.00","2,295.20","5,011.80",5.23,959.20,0.00
0,bpcl,MAR'17,"6,60,232.00","6,623.90","6,66,856.00","6,38,110.00","28,746.60","27,271.50","1,475.10","25,796.40",0.00,"22,033.10","3,616.30","18,416.80",14.04,"13,112.50",0.00
1,bpcl,DEC'16,"5,35,427.00","5,510.50","5,40,938.00","5,02,262.00","38,675.20","37,326.70","1,348.50","35,978.20",0.00,"32,490.60","9,771.20","22,719.40",15.71,"14,461.70",0.00
2,bpcl,SEP'16,"4,46,927.00","10,223.40","4,57,151.00","4,33,114.00","24,037.10","23,013.00","1,024.10","21,988.90",0.00,"18,489.20","5,437.40","13,051.80",9.03,"14,461.70",0.00
3,bpcl,JUN'16,"4,69,387.00","3,649.00","4,73,036.00","4,30,195.00","42,840.90","41,729.90","1,111.00","40,618.90",0.00,"37,415.00","11,210.00","26,205.00",18.12,"7,230.80",0.00
4,bpcl,MAR'16,"4,41,971.00","6,945.60","4,48,916.00","4,07,075.00","41,841.40","39,408.00","2,433.40","36,974.60",0.00,"34,972.80","9,482.00","25,490.80",35.25,"7,230.80",0.00
0,sesagoa,JUN'17,"93,780.00","5,680.00","99,460.00","80,910.00","18,550.00","7,520.00","11,030.00","-3,510.00",0.00,460.00,120.00,340.00,0.04,"3,720.00",0.00
1,sesagoa,MAR'17,"1,16,214.00","78,997.50","1,95,211.00","96,707.50","98,503.60","1,23,514.00","10,203.60","1,13,310.40",0.00,"1,16,587.00",-418.10,"1,17,005.00",22.05,"2,965.00",0.00
2,sesagoa,DEC'16,"85,408.10","5,847.90","91,256.00","71,652.50","19,603.50","9,600.40","10,003.10",-402.70,0.00,"6,495.30",12.80,"6,482.50",2.19,"2,965.00",0.00
3,sesagoa,SEP'16,"66,487.30","2,181.10","68,668.40","58,529.10","10,139.30",428.10,"9,711.20","-9,283.10",0.00,"-2,746.50",0.00,"-2,746.50",-0.93,"2,965.00",0.00
4,sesagoa,JUN'16,"71,436.90",510.40,"71,947.30","61,049.20","10,898.10","1,824.20","9,073.90","-7,249.70",0.00,"-1,197.90",0.00,"-1,197.90",-0.40,"2,965.00",0.00
0,indusindbk,JUN'17,"41,355.10","11,672.60","53,027.70","13,527.90","15,885.30",0.00,"23,614.50","-23,614.50",0.00,"12,785.60","4,420.10","8,365.50",13.98,"5,985.20",0.00
1,indusindbk,MAR'17,"38,300.10","12,113.00","50,413.10","13,065.20","15,722.30",0.00,"21,625.60","-21,625.60",0.00,"11,421.00","3,904.90","7,516.10",12.57,"5,981.50",0.00
2,indusindbk,DEC'16,"36,993.30","10,168.00","47,161.30","12,318.80","13,633.40","11,464.90","21,209.10","-9,744.20",0.00,"11,464.90","3,958.50","7,506.40",12.57,"5,974.20",0.00
3,indusindbk,SEP'16,"34,693.00","9,704.20","44,397.20","11,490.80","12,816.50",0.00,"20,089.90","-20,089.90",0.00,"10,677.70","3,635.10","7,042.60",11.81,"5,969.20",0.00
4,indusindbk,JUN'16,"32,916.90","9,729.70","42,646.60","10,956.00","12,337.90","10,033.20","19,352.70","-9,319.50",0.00,"10,033.20","3,419.40","6,613.80",11.11,"5,958.70",0.00
0,adaniports,MAR'17,"12,348.50","6,583.50","18,932.00","4,893.30","14,038.70","10,655.20","3,383.50","7,271.70",0.00,"9,293.20",918.30,"8,374.90",4.04,"4,141.90",0.00
1,adaniports,DEC'16,"13,245.00","2,833.60","16,078.60","3,993.50","12,085.10","9,445.40","2,639.70","6,805.70",0.00,"8,086.80",643.40,"7,443.40",3.59,"4,141.90",0.00
2,adaniports,SEP'16,"13,018.70","3,344.60","16,363.30","3,115.60","13,247.70","10,685.70","2,562.00","8,123.70",0.00,"9,352.60",185.90,"9,166.70",4.43,"4,141.90",0.00
3,adaniports,JUN'16,"10,551.60","2,720.00","13,271.60","3,339.20","9,932.40","7,550.20","2,382.20","5,168.00",0.00,"6,196.80",168.40,"6,028.40",2.91,"4,141.90",0.00
4,adaniports,MAR'16,"9,456.70","3,514.60","12,971.30","3,482.10","9,489.20","7,198.00","2,291.20","4,906.80",0.00,"6,004.50",342.50,"5,662.00",2.73,"4,141.90",0.00
0,eichermot,MAR'17,"21,289.00",550.40,"21,839.40","15,378.70","6,460.70","6,453.90",6.80,"6,447.10",0.00,"6,024.20","1,908.60","4,115.60",151.26,272.10,0.00
1,eichermot,DEC'16,"18,335.90",589.90,"18,925.80","12,507.70","6,418.10","6,411.00",7.10,"6,403.90",0.00,"6,056.20","1,904.30","4,151.90",152.63,272.00,0.00
2,eichermot,SEP'16,"17,624.90",664.60,"18,289.50","12,101.00","6,188.50","6,181.00",7.50,"6,173.50",0.00,"5,823.30","1,861.70","3,961.60",145.71,272.00,0.00
3,eichermot,JUN'16,"15,574.70",468.20,"16,042.90","10,776.80","5,266.10","5,259.60",6.50,"5,253.10",0.00,"4,866.10","1,495.10","3,371.00",124.11,271.60,0.00
4,eichermot,MAR'16,"15,449.60",806.90,"16,256.50","10,829.20","5,427.30","5,424.60",2.70,"5,421.90",0.00,"5,050.30","1,457.10","3,593.20",132.30,271.60,0.00
0,bajaj-auto,JUN'17,"58,541.90","4,572.80","63,114.70","49,158.40","13,956.30","13,633.90",2.40,"13,631.50",0.00,"12,881.30","3,642.00","9,239.30",31.90,"2,893.70",0.00
1,bajaj-auto,MAR'17,"52,128.30","2,936.00","55,064.30","43,068.50","11,995.80","11,993.40",2.40,"11,991.00",0.00,"11,236.40","3,218.20","8,018.20",27.70,"2,893.70",0.00
2,bajaj-auto,DEC'16,"50,668.90","3,192.90","53,861.80","40,229.80","13,632.00","13,629.40",2.60,"13,626.80",0.00,"12,857.70","3,611.50","9,246.20",32.00,"2,893.70",0.00
3,bajaj-auto,SEP'16,"60,545.20","3,420.20","63,965.40","47,583.90","16,381.50","16,374.70",6.80,"16,367.90",0.00,"15,605.20","4,377.70","11,227.50",38.80,"2,893.70",0.00
4,bajaj-auto,JUN'16,"57,479.50","2,670.60","60,150.10","45,716.20","14,433.90","14,431.70",2.20,"14,429.50",0.00,"13,657.00","3,873.30","9,783.70",33.80,"2,893.70",0.00
0,yesbank,JUN'17,"46,538.00","11,321.60","57,859.60","12,368.90","17,042.00",0.00,"28,448.70","-28,448.70",0.00,"14,184.20","4,529.00","9,655.20",21.12,"4,574.90",0.00
1,yesbank,MAR'17,"43,489.90","12,573.90","56,063.80","12,061.10","16,909.80",0.00,"27,092.90","-27,092.90",0.00,"13,812.50","4,671.30","9,141.10",21.57,"4,564.90",0.00
2,yesbank,DEC'16,"42,316.10","9,983.50","52,299.60","10,520.40","14,538.10","13,384.30","27,241.10","-13,856.80",0.00,"13,384.30","4,558.00","8,826.30",20.89,"4,229.80",0.00
3,yesbank,SEP'16,"40,943.80","8,878.50","49,822.30","9,480.60","13,859.60",0.00,"26,482.10","-26,482.10",0.00,"12,242.90","4,227.50","8,015.40",19.03,"4,216.60",0.00
